enable all employees to go home unharmed	S4
reporting all incidents and near misses	S1
recording accurately .	S2
mechanical handling equipment ( mhe )	K07
complete mechanical handling equipment ( mhe ) checks	S8
contribute to and encourage a continuous improvement working environment .	S4
housekeeping	K10
carry out housekeeping inspections	S6
ensure that the general appearance of the warehouse and external areas are kept in good order .	S3
monitor staff performance	S2
liaise with the shift manager	S1
ensure that concerns are raised and managed effectively .	S2
ensure all team members are trained	S3
encourage a culture of respect and dignity	S4
ensuring a safe working environment for employees	S6
preventing theft of company property .	S4
ensure that all documentation is completed accurately and in a timely manner .	A1
ensure that the team hits and exceeds their challenging kpi's	S3
training and mentoring of staff	S1
ensure that warehouse floor space is managed	S4
stop congestion and breeches of health and safety	S1
health and safety	K10
assist in investigations to	S1
ensure correct allocation of labour	S8
support and promote the delivery and implementation of costs saving initiatives	A1
leading a team of people facilities vehicles equipment and procedures	S8
flexible approach	S1
work extra hours	S1
health and safety requirements	K10
management	S4
prioritise tasks	S4
communicator	S1
energetic approach	S1
drive our growing business forward .	S4
microsoft office applications	K07
gmail .	S5
warehouse management system .	K06
problem-solving	S1
motivate staff	S4
lead by example .	S4
can do’ attitude	S8
manage our busy reservations office	S4
communicating with potential and repeat guests	S1
telephone	K04
online booking systems	K08
meet the guests needs	S3
providing the best possible customer service	S1
making and assisting with reservations	S1
contributing towards sales for bedroom occupancy targets	S8
showcase the facilities offered at your site	S1
delivering great customer service	S2
going the extra mile	S5
exceed the guest’s expectations .	S1
calm under pressure	S8
telephone manner	S1
multi task .	S4
it systems	K05
adaptable	S1
taking challenges in your stride .	S4
keen eye for detail	A1
organisation skills .	S4
hard working	S6
building trade	K07
driving licence .	K10
drive	S8
commercial bench joinery	K02
workshop machinery .	K07
building door sets	S6
provide joinery requirements	S1
commercial joinery	K04
working with doors	S1
building high spec door sets	S6
ensuring high quality products	S2
building door sets	S6
assisting with general bench joiner	S3
ensuring the finished product is in line with the highest standards	S3
complying with all health and safety requirements	S1
health and safety requirements	K10
fitting door sets	S7
prehung door set’s	K07
produce joinery products	S6
cnc	S5
operate various joinery machine/tools	S8
self-motivated	S1
work ethic .	S1
full uk driving license	K07
sense of humour	S1
Enthusiastic	K99
team focused	S4
learn develop and progress in the workplace	S2
flexibility	S1
takes pride in all tasks	S4
carpentry:	K07
energetic	S3
hardworking	K99
residential property	K04
look after the property management desk	S1
ensuring that your portfolio runs smoothly	S2
supporting the property management team	S1
managing a portfolio of circa 150 properties .	S8
leading a team	S4
managing a small department .	S4
property management duties;	K04
duties handling	S1
managing move-ins	S4
registering deposits	S2
arranging inventories	S4
dealing with maintenance disputes	S1
arranging	S4
carrying out renewals	S4
handling deposit negotiations	S1
docusign/jupix/property file	K04
property management:	K04
passionate	S1
imaginative	S1
customer focused .	S4
delivering a memorable vip experience	S1
engaging with customers	S3
merchandising	S6
working to deadlines	A1
delivering an outstanding service and standard	S3
sailing	K10
equestrian	K10
retail	K04
self-starter	S1
work unsupervised where needed	S1
initiative .	A1
carrying out maintenance and service routines repairs	S8
testing of vehicles in a professional and safe manner .	S3
team player	S1
work to deadlines	A1
use your own initiative .	S2
work on the breakdown call out rota .	S1
customer service .	S4
main dealer	K06
fleet	K04
certified hgv technician	K02
mercedes-benz	K05
work to deadlines	A1
driver’s license	K10
driving	S8
communication skills	S1
professional appearance	S3
work ethic	S1
flexibility	S1
reliability	S2
driving license	K10
commercially astute	S4
ambitious	K99
fresh and innovative thinking	S1
creative	S1
innovative	S1
resourceful	S4
working closely with the production manager	S1
support develop and enhance our brands globally .	S4
designing products to brief	S1
creating templates	S6
cut and sew products .	K07
working with team managers and senior ops	S1
ensure new products work within a production environment .	S6
sourcing consumables for new products .	S1
updating and keeping to a critical path .	S8
sewing	K07
production	K07
illustrator	K06
photoshop .	K06
manage multiple tasks simultaneously	A1
complete tasks to deadlines .	A1
warehousing operations .	K04
attention to detail	A1
organised	A1
self-motivated	S1
works well with a wider team	S1
using their own initiative .	S5
communication skills	S1
flexible	A1
adapt to the needs of a fast paced environment .	S1
experienced	S3
skilled	S1
program online	S5
fanuc controls	K10
offline programming packages	K06
write and prove out programs	S2
set & operate various different lathes	S8
editing programs	S5
improve machining performance	S4
plan and implement the methodology of producing the relevant components	S4
cnc	S5
Fanuc	K99
turning	K07
tooling requirements	K07
speeds	K07
feeds	K08
offline cam systems	K07
juggle many balls	S6
juggle many balls	S6
typing correspondence	S4
managing diaries	S2
recruitment and training of new staff	S1
administration	K09
diary management	S4
typing of correspondence	S4
attending meetings)	S1
sales support	K04
processing invoices	S4
producing sales quotations)	S2
flexible	A1
assist with a number of areas	S2
it proficient	S8
word	K02
excel	S4
outlook	S1
powerpoint .	S5
communicator	S1
build and develop strong relationships	S1
english	L1
valid passport	K07
full driving license	K02
self-motivated	S1
enjoys a fast paced working environment	S6
caring	S1
flexible	A1
committed	A1
assisting service users with personal care tasks	S3
promoting dignity	S1
supporting with the administration of medication .	S3
supporting to meet nutritional needs	S1
meal preparation	S8
fluid intake prompts .	S1
house keeping duties .	S6
interacting with service users	S1
promoting independence & freedom of choice .	A1
ensuring safety throughout the day escorting to social or other appointments	S3
driving license	K10
english	L1
cscs card	K09
assisting tradespeople	S3
moving materials	S2
keeping site clean & tidy	S6
cscs card	K09
fitting sliderobes and vanity units .	S1
cscs card	K09
build a focused and proactive business partnering function	S1
devising updated planning and reporting processes	S4
providing insight and analysis	S5
project planning	K04
business case production	K04
implementation tracking .	K07
develop insightful reporting packs	S1
kpis	S4
focused mi .	K01
enabling the data to tell a meaningful story	S1
and providing a picture to stakeholders .	S1
building strong stakeholder relationships .	S1
take complex data and translate it into insightful useable information	S3
project manage	S4
deliver new processes	S6
focus on reporting and analysis output	S2
inspiring and leading others	S1
driving change .	A1
energy	S2
drive real change .	S6
have ideas	S1
influence	S1
guide	S4
challenge	S3
ensure the job gets done in the right way	S1
people focus	S4
communication	S8
influence counsel and challenge the business .	S3
finance bp	K03
devise the finance bp programme and calendar .	S3
raise the profile of finance	S1
kpis	S4
drive and support the development of key kpis and other mi .	S1
mi .	K07
produce revised information packs	S3
innovation	S2
financial reporting .	K04
ensure accuracy of monthly management information and consequent benefits to year end close .	S5
provide detailed analysis	S5
finance bp	K03
ensuring finance bp requirements are fully supported .	S3
build project business case processes and tracking reporting .	S4
develop and evolve the finance business partner role .	S4
deputise for fd	S6
develop lead and inspire direct report and wider team .	S1
leadership	S4
developing people	S1
communication relationship building and presentation skills .	S1
it skills	S1
excel .	A1
mi systems	K05
project management	K04
self-manage	S1
prioritise	S4
meet deadlines .	A1
talented	S1
developing client relationships	S1
selling a suite of contract management ( clm )	S2
contract management ( clm )	K04
process transformation services	S3
identify develop new business relationships	S1
drive billed revenue	S8
attaining set revenue targets .	S1
provide apt account coverage;	S2
develop and execute a yearly formal business plan for assigned territory .	S4
identify key business challenges;	S4
demonstrate needs fulfillment mode and method;	S1
identify decision-makers services and products	S3
meet client issues;	A1
direct development of customized solutions;	S4
negotiate with clients for efficient services delivery	S1
ensure services are priced correctly	S2
present solutions to clients	S1
negotiate optimally;	S1
draft client service agreement	S1
providing details on the scope of service and compensation;	S3
negotiate with the client	S1
execute contracts;	S1
work in conjunction with senior leaders regarding client relationship management	S4
client relationship management	K04
ensure seamless reporting communication and services;	S8
enter and report regular sales	S1
follow-through; prepare metrics for review and understanding of target areas;	S6
acquire industry knowledge about competitors	S2
helping the sales team	S4
develop marketing positioning statements based on competitive knowledge;	S2
protect firm from errors and omissions ( e&o ) qualifications:	S7
errors and omissions ( e&o ) qualifications:	K07
selling managed services technology-enabled solutions into corporate legal departments .	S4
corporate legal departments .	K04
client relationships	K04
microsoft office	K06
word processing	K07
spreadsheet	K04
database work	K06
powerpoint	S5
write proposals	S1
work on solution designs	S2
detailed reports and correspondence	S4
communicate effectively with customers	S1
friendly	S3
pleasant	S3
think quickly and creatively	S1
proposing new solutions	S5
selling technology-enabled solutions into corporate legal:	S1
flexible	A1
meet the needs of our customers	S1
passionate	S1
motivated	S4
help vulnerable people make positive and lasting changes	S4
work on your own initiative	S2
positively	S6
influencing people from all different backgrounds .	S3
working with vulnerable customers	S1
safeguarding	K10
risk assessments	K04
confidentiality	K06
support plans	K09
working collaboratively .	S1
assisting in the delivery of tasks	S4
work with our external agencies	S1
assess and engage support	S2
keep our records straight	S2
technologically savvy	S4
challenges faced by vulnerable groups .	K07
“can do” positive attitude	S1
enthusiasm	S1
movement of goods	S6
replenish the pick face;	S6
bulk picking .	S6
assisting pickers with pallets that are too heavy for manual movement	S8
carry out and record truck safety checks	S2
clean trucks	S6
follow instructions on scanner	S1
transport goods in a safe manner	S6
ensure that goods are placed at the correct location	S1
ensure that pallet labels are scanned	S3
good distribution practice of medicinal products	K10
electrical pivot steer truck	K07
working in a busy warehouse environment	S1
bendi truck driving licence	K07
literate	S2
stock control systems	K06
scanners	K06
paperwork	K04
enthusiastic	K99
flexible	A1
provide professional and efficient administrative support	S3
provide a comprehensive reception service .	S1
provide cover	S7
greeting all visitors	S2
ensuring relevant safeguarding checks are made .	S3
well presented	S8
interpersonal skills	S1
engage positively with visitors students and staff	S1
administrative and it skills	S4
microsoft packages	K06
microsoft excel	K06
microsoft word .	K06
well-organised	S8
prioritise your demanding workload	S4
work on your own initiative as well as part of a team .	S1
level 2 qualification	K04
english	L1
maths .	K05
flexible approach	S1
assisting the administrative team	S4
education	K04
passionate	S1
driven	S6
managing adult services	S4
leadership and managerial skills	S4
leading within adult services .	S4
cqc registration	K08
work with the management team	S1
ensure the safe running of services	S3
cqc guidelines	K04
ensuring the service is effective and safe	S3
manage staff team	S4
assist with recruitment	S3
ensure all adults have bespoke and therapeutic support	S3
develop services	S1
expand .	S8
nvq level 5 in leadership and management .	K09
driving licence .	K10
working with people who have hearing impairments	S3
managing adult's services .	S4
driving	K10
nvq level 5	K06
promote high standards of professional practice	S3
meeting the physical emotional social and spiritual needs of the residents	S3
manage and develop resources	S4
provide a healthy stimulating and safe environment	S1
ensuring that the personal care needs of all residents are met	S1
provide health care supervision and direct care	S4
dealing with health matters relating to residents	S2
liaising with the families and gp’s of residents .	S1
work in partnership with resident families and staff	S3
develop promote and provide a quality service .	S4
liaise with multi-disciplinary agencies	S1
administer prescribed medication	S3
nmc cqc royal pharmaceutical society guidelines and group policies	K03
monthly ordering	S3
stock control	S1
return of medications	S3
assist with the induction training supervision appraisal and performance management of junior staff members	S1
allocate duties	S4
form the staff roster	S2
ensure a skill mix is maintained .	S2
ensure that discipline and correct working practices are maintained	S2
monitor	S2
mentor	S1
support	S1
assist in the completion of all required month audits for resident care .	S3
assist each resident to maximise their independence	S3
complete all care documentation	S1
care planning	K04
accident/incident reports	K10
follow the staff handbook	S3
ensure adequate staff cover is maintained	S2
provide management support	S3
display leadership	S4
lead by example .	S4
ensure a good professional relationship exists	A1
familiarise and adhere to all group policies and procedures	S3
nursing:	S6
modern foreign languages	K02
creative	S1
enthusiastic	K99
inspirational	S4
spanish	L1
french .	L1
passionate about their subjects	S1
deliver excellent lessons	S1
exciting	S8
engaging	S1
inclusive	S8
motivate and inspire students and staff	S1
raise achievement	S6
enthusiastic	K99
positive	S1
interpersonal and teamworking skills	S1
model trading hotel opportunities and hotel investments	S1
valuation model to	K06
preparing proposals	S1
create content for marketing collateral	S4
teasers	K99
brochures	K02
information memoranda	K06
data rooms	K06
running hotel marketing campaigns	S4
maintain target lists of buyers	S8
have conversations / conduct meetings with prospective buyers	S4
assist with aspects of business generation	S3
business generation	K04
maintain our database of target clients	S2
prepare material	S4
hotel sector	K10
brands	K07
management	K04
companies	K10
investors	S4
latest trends	K07
keen interest in the sector	S1
real estate industry sector	K04
microsoft excel	K06
financial modelling	S5
dcf modelling	K05
levered and unlevered irr analysis	K07
payback period equity	K02
returns analysis	K04
commitment	A1
initiative	S2
decision-making	S4
hard work	S6
child and adult mental health services	K09
alcohol treatment	K07
learning disability	K09
wellbeing	S3
eating disorder services	K03
whole life care	K09
seeing people in the context of their whole lives	S3
delivering quality driven mental health services .	S2
working positively respectfully and together? if	S3
clinical and / or service leadership	K09
eating disorders	K03
working in a team	S1
following best practice	S3
delivering excellence	S4
developing or continuing research interests	S4
engaging in service development	S2
expanding teaching activities .	S2
serve as a trainer for higher trainees and a teacher for colleagues	S4
uk professional registration .	K04
line management	K04
take line management responsibility	A1
contract establishment	K04
lead financial strategy at contract establishment stage	S4
implementing monitoring	S1
managing our desired approach	S1
maximise profit potential on all operational schemes	S4
carrying out regular project reviews	S6
working direct with clients	S2
maximise variation and specification change opportunities on live schemes	S4
ensure all opportunities of increased margins are identified and considered .	S4
set up regional supply chain deals	S4
working with the central procurement department	S1
ensure sub-contract buying gains are maximized	S3
ensure appropriate sc choices are made	S4
close management of supply chain	S4
measuring performance	S1
identify and manage financial risk	S2
manage all profitability reporting	S4
ensure accuracy and robustness of financial reporting	S2
ensure monthly operational billings are accurate	S1
reflect realistic delivery	S1
monitor and manage monthly changes in billings projections	S2
providing report on major movements .	S8
work with delivery teams	S1
carrying out an overall ( risk/opportunities adjusted ) financial report	S2
manage cash collection and invoicing of month accrued income values .	S2
establish accurate cost delivery data	S6
ensure real delivery costs are incorporated into live tenders	S2
attend financial tender adjudication reviews	S2
discuss potential risk and opportunities	S4
manage cost allocations across business overheads	S4
direct job costed staff	S4
manage “red flag” reports	S2
chase up outstanding issues	S1
report progress	S2
motivate staff and teams	S4
communicator	S1
financial acumen	S2
analyse complex data with accuracy	S2
negotiator	S1
commercial environment	K04
risk analysis/management	K04
ms applications	K05
excel	S4
business assurance systems .	K06
industry sector	K02
planning organising and prioritising workload for yourself and your teams	S2
maintaining high levels of accuracy and clarity of reporting	S2
soft skills	S1
empathy	A2
understanding	S1
listening	S1
base uk law	K05
commercial	K04
construction act	K07
degree/ diploma level	K07
law	K04
surveying ( quantity/building )	K10
identifying the best solution	S6
industrial and natural gas business	K07
offer and sell complete product solutions	S1
provide commercial and technical support to customers	S3
order processing	S6
provide the highest standards of customer service!	S1
collaborating closely with peers	S1
respond to sales enquiries	S3
qualifying all enquiries	S3
maximising all bookings opportunities and quote to order ratio;	S2
ensure all proposals meet the customers’ application and operational needs are technically accurate and commercially verified	S3
highlight customer business benefits;	S1
liaise with field sales	S1
prioritise effort	S4
gather competitive intelligence	S1
agree product direction and price strategy	S4
improve customer service consistent with account plans	S1
respond to customer queries and clarification requests;	S3
using standardised european and business unit processes	S5
european and business unit processes	K04
ensure the timely entering of orders into the sales order processing system	S8
verifying that all data is checked and accurate;	S2
maintain delegations of authority;	S8
organised	A1
quotations time management	K04
organise others	S4
maximise opportunities	S4
report on quotation and project potential	S1
customer relationship management ( crm ) tools;	K04
review customers purchase orders against quotation provided and associated clarifications	S1
address any anomalies request customer po amendments	S1
process orders	S2
ensuring all relevant information is included	S2
communicate order requirements	S1
ensure all orders are acknowledged and released to factory of manufacture	S3
ensuring accuracy of date management	S2
liaise with credit management	S1
resolve any invoice discrepancies	S1
reduce the company dso levels;	S2
ensure full compliance with legal and company requirements	S3
trade compliance	K04
ethical business	K08
hnc/degree level	K07
engineering	K07
communicate well across a matrix organisation;	A1
inside sales	K09
customer service	K04
using product and business systems and standard business reporting tools	S6
oracle	K06
crm	K06
communicate at both technical and commercial level	S1
resolve customer issues;	S1
lean	K04
awareness of lean principles	S2
making an impact	S2
act with integrity .	S1
continuously push yourself to achieve new goals	S2
question the status quo	S6
proposing creative solutions to problems .	S1
onboarding	K07
involved in all aspects of the business	S4
develop new skills	S1
drive	S8
cleaning industry	K10
managing teams	S4
taking accountability for overall customer service .	S2
it skills	S1
excel	S4
reporting	K04
multi-task	A1
dealing with challenges of multi-site teams	S3
drive	S8
enthusiasm	S1
driving license	K10
cpg & manufacturing industry .	K07
drive expansion	S8
driving new opportunities	S4
exceed monthly / quarterly sales targets	S4
driving new opportunities	S4
analyse your industry territory	S4
identify prioritise and segment accounts	S2
collaborating with the extended team	S1
create demand	S1
cold calling	K07
email / social campaigns	K03
event-attendance	S2
engage your extended team	S4
strategic value-based selling	S1
business case definition	S1
return on investment analysis	S5
references	K02
analyst data .	K06
converse with senior technologists	S3
generate short term results	S2
maintaining a long term perspective	S4
maximize overall revenue generation .	S1
provide accurate monthly forecasting and revenue delivery .	S3
build and maintain a territory pipeline of business	S7
selling enterprise software	S1
PaaS	K99
IaaS	K99
saas	K06
net direct new business sales	K04
prove consistent delivery against targets .	S2
customer care	S1
helping	S1
ensure customer success	S4
credibility	S1
building strong relationships	S1
selling industry-specific use cases / technologies	S8
CPG	K99
manufacturing services .	K07
iPaaS	K99
api management	K10
automation	K07
selling ipaas api management automation bpm technologies	S8
bpm technologies	K06
deliver key business outcomes	S4
bachelor’s degree	K05
full driving license .	K10
eye for detail	A1
team player	S1
‘can do’ attitude	S8
flexible approach	S1
deliver to tight timelines and to a high level of accuracy .	S1
be a key part of the team	S1
customer care skills	S1
use it systems	S5
record track monitor and process requests	S8
procurement	K04
posting opportunities to the council’s tender portal	S4
receiving and managing the responses to suppliers questions	S2
making sure tender documents reach the right person promptly	S2
development of the supplier management service	S1
supplier management service	K04
project work	S8
assisting with system configuration and maintenance .	S6
general education	K01
english	L1
maths	K05
it literacy .	L1
self-service digital user platforms	K06
ms office	K06
sharepoint	K04
support the team’s activities	S3
procurement or business services .	K06
versatile	K99
enthusiastic	K99
electrical experience	K07
work individually as part of a team	S1
lead a small team .	S4
condition report	S2
fault rectify	S7
personable	S1
flexible	A1
work and converse in busy working hotels	S1
electrical:	K07
increase the brand awareness	S4
drive marketing qualified leads	S1
contribute to the financial growth of the business .	S3
be accountable for the success of the team	S4
work with senior stakeholders	S1
ensure that initiatives campaigns and projects are executed to a high level of success .	S1
responsible for overarching marketing strategy	S4
marketing techniques	K04
demonstrate roi on campaigns	A2
digital marketing performance	K04
reporting on digital marketing performance and competitor analysis	S4
competitor analysis	K03
measure and optimise performance	S2
improve conversion and roi	S5
communication	S8
writing	S1
work independently	A1
demonstrate initiative	A1
put forward creative new ideas	S1
manage tight deadlines .	A1
confident	S1
presenting strategy and ideas	S1
remain aware of key market data and customer needs	S2
ensure marketing strategies remain effective and productive .	S4
implementing develop and delivering a strong digital marketing plan	S1
work hands-on	S2
digital marketing	K04
ppc	K04
SEO	K99
paid social ( facebook ads ) content .	K07
organising events and awards ceremony applications .	S3
digital marketing	K04
reporting on digital marketing performance and competitor analysis .	S4
competitor analysis .	K03
measure and optimise performance	S2
improve conversion and roi .	S5
support the sales teams	S4
implementing the agreed marketing strategies	S1
generate strong opportunities .	S4
b2b marketing .	K04
b2b marketing	K04
technology/it industry	K04
marketing techniques	K04
demonstrate roi on campaigns	A2
communication and writing skills	S1
work independently	A1
demonstrate initiative	A1
put forward creative new ideas	S1
manage tight deadlines	A1
proactive	A1
confident	S1
presenting strategy and ideas	S1
Hubspot	K99
wordpress	K06
ppc	K04
ppc	K04
management of ppc campaigns/relationship with ppc agency	S1
managing at least one direct report	S2
cyber security	K10
graphic design	K02
coding	K04
html	K06
css	K06
ensuring data accuracy	S2
Masternaut	K99
TMC	K99
Kinto	K99
shell	K08
full report creationg and distribution	S2
attending and supporting quarterly business review meetings	S1
correct use of fleet	S4
root cause analysis	S2
ci	K09
ci approach	S1
analytical and reporting skills	S1
it systems	K05
supporting 1000+ vehicle fleets	S2
prioritise work	S4
meet deadlines	A1
communication skills	S1
open and honest communication	S1
raise the awareness aspiration and attainment of targeted learners and the profile of progression routes into higher education	S1
workshops	K07
presentations	K05
experience days	K09
virtual delivery	K08
conference call software .	K06
co-ordinating administrative processes	S4
administrative and/or monitoring tasks	S2
prepare co-ordinate and deliver high quality innovative outreach activities programmes and digital resources	S4
support team members	S4
development of exciting and innovative outreach programmes and plans	S1
produce a range of high quality innovative and creative materials and resources	S2
widening access activities	S2
support or facilitate on-campus and in-school activity	S4
liaise appropriately with staff students and parents	S1
provide up to date information regarding progression routes	S3
maintain full and detailed knowledge	S2
application and admission processes	K07
student funding	K04
provide he-related information advice and guidance	S1
engage in cross-departmental activities	S1
support colleagues	S1
raise the internal profile	S2
support the delivery of activities	S2
record all activities and other agreed information	S2
reporting progress against targets	S4
liaise closely	S2
ensure co-ordinated communications and provision	S5
provide administrative support	S1
work allocation	K04
supervise and provide guidance to student employees	S4
support the training of student employees	S1
provide administrative support	S1
develop and maintain administrative processes	S4
contribute to the monitoring and evaluation of dancop-funded widening access activities	S4
monitor the evaluation of widening access activities	S8
co-ordinate the storage and processing of data	S4
GDPR	K99
honours degree	K05
first-degree graduate	K09
delivering information in a creative and engaging way	S2
working with groups of learners progressing to he	S3
widening participation/access	S3
written and report writing skills	S2
presentation skills	S5
current issues affecting progression to he	K03
interpersonal and communication skills	S1
it skills	S1
social media	K04
video conferencing	K02
work using your own initiative and as part of a team	S1
manage complex and conflicting demands	A1
commitment to an excellent standard of customer service	S1
team player	S1
innovative	S1
creative thinker	S1
flexible	A1
adaptable	S1
consistent	S6
reliable	A1
developing implementing and evaluating personalised care plans	S4
collaborate	S1
handle medicine management	S4
clinical skills	S3
confidence	S1
building relationships .	S1
full driving licence	K02
respectful of the values views and needs of others	S1
delivering nursing care	S2
elderly health care sector	K10
participating in quality and clinical governance programmes	S1
ensure the highest possible standards of care	S3
assessing residents' needs and wishes	S2
developing services	S1
champion appropriate independence and personal choice;	S3
developing reviewing and updating care plans	S4
meet our resident’s physical social and psychological needs .	S2
oversee all aspects of medicine management	S4
ensuring medicines are appropriately received stored and administered	S4
ensure all elements of resident experience are positive	S3
ensure compliance with all legal regulatory and best practice guidelines	S3
identify investigate and resolve risks proactively .	S2
support guide teach and mentor others	S1
nmc code	K06
reflective	S4
friendly	S3
experienced	S3
driving licence	K10
flexibility	S1
reliable	A1
driving licence	K10
thoroughly and consistently deploy business information solutions	S2
using the latest technology	S3
identifying solutions gaps	S4
improving the current kpi suite and reports .	S2
operational reporting	K04
data integrity	K06
identify reporting requirements	S1
work with the wider team	S1
guide and recommend data reports kpis and dashboards	S1
drive performance .	S4
ensure data align with strategies .	S1
transform the reporting dashboards	S1
PowerBI	K99
running current daily and weekly reports / dashboards	S4
developing dashboards	S2
visual	S1
easy to understand .	S4
power bi	K03
sql	K06
sql server 2016	K06
t-sql	K06
stored procedures	K07
sql server reporting services ( ssrs )	K06
sql server integration services ( ssis )	K06
kpi reporting	K03
information technology	K07
computer science	K06
Tableau .	K99
right to work in the uk	K09
installation of front door canopies	S7
move materials deliveries	S2
to assist the trade fitting canopy .	S1
cscs card .	K09
CSCS	K99
manage your own desk-	S4
enthusiastic	K99
inform potential clients	S3
driven	S6
sales/business development	K04
money motivated	S4
attention to detail	A1
disciplined	S1
working from home	S1
computer literate	S5
communicator	S1
take ownership of your role	S4
sales:	K04
hardworking	K99
passionate	S1
committed	A1
make a positive difference	S1
nvq level 3 diploma in residential childcare .	K03
help the children with their emotional physical and developmental needs .	S3
display yourself as an appropriate role model .	S1
positive attitude	S6
empathy	A2
resilience .	S3
encourage positive life experiences for the children .	S3
maintaining a safe and clean home environment for all children .	skill
reporting	S1
logging skills	S1
design of end-to-end service experiences	S1
hands on	S6
taking a lead role	S1
facilitating engagement with a wide range of stakeholders	S1
mentoring and coaching others .	A1
human-centred design methods	K08
solve complex problems	S5
facilitating cross-functional teams	S1
design new services .	S1
effectively collaborate	S5
engage both customers and service development teams	S1
optimise business processes	S2
deliver holistic and meaningful improvements	S3
effective deliver on customer and business outcomes .	S1
qualitative and quantitative research	K09
data	K06
end-to-end service experience .	K10
storytelling	S4
facilitating	S8
effectively communicate at all levels	S1
blueprinting	K07
journey mapping	K05
prototyping	K06
bring people along the journey .	S1
working closely with product teams	S1
ensure digital elements	S1
support the holistic end-to-end service experience .	S3
work closely with senior stakeholders	S1
ensure creative and experiential alignment	S4
inspire colleagues	S1
set the standard for service design	S4
service design	K02
educating and coaching teams	S1
ensure alignment on the end-to-end service experience	S3
facilitate human-centred design of services end-to-end surface to core	S1
set direction	S4
assure the quality of service design	S2
lead the design of multiple or highly complex services	S4
ensure that teams take a user-centred evidence-based approach to service design and development .	S1
develop and assure excellent service design practice and guidance	S4
mentor other members of staff in service design approaches	S4
service design approaches	K02
raise the influence of human-centred design	S1
human-centred design	K08
run and lead design workshops	S4
research map prototype and test end-to-end service journeys	S5
put the customer at the heart of service design and development .	S3
stay abreast of market technological and industry trends tools and techniques	S2
inform decision-making	S4
leading service design	S1
service design	K02
working client-side for a large organisation	S1
service design	K02
human-centred design	K08
design thinking	K06
facilitator	S7
applying a range of methods	S6
design thinking	K06
design sprints	K07
data analytics	K06
quantitative research tools and techniques	K09
visualisation	S3
articulate the end-to-end service experience for customers	S5
